1	12
2	5
3	7
4	8
5	11
6	7
7	7
8	5
9	9
10	11
11	0
12	6
13	10
14	2
15	12
16	6
17	3
18	0
19	2
20	6
21	4
22	10
23	11
24	3
25	9
26	7
27	10
28	4
29	4
30	4
31	11
32	5
33	12
34	2
35	7
36	7
37	9
38	6
39	3
40	12
41	1
42	8
43	12
44	1
45	6
46	1
47	12
48	5
49	6
50	7
51	8
52	4
53	0
54	4
55	7
56	8
57	11
58	8
59	11
60	12
61	0
62	1
63	5
64	12
65	9
66	11
67	0
68	11
69	5
70	2
71	4
72	10
73	11
74	0
524	3
819	9
370	4
371	10
372	12
373	12
374	1
376	12
377	11
378	5
379	3
380	0
381	5
382	3
383	3
384	1
385	9
386	6
387	2
388	5
389	3
390	0
391	12
392	4
393	1
394	11
395	4
396	2
397	12
398	12
399	10
400	2
401	9
402	11
403	4
404	10
405	4
406	0
407	0
408	12
409	12
410	11
411	8
412	11
413	10
414	2
415	9
416	6
417	2
418	5
419	6
420	10
421	9
422	0
423	0
424	3
425	3
426	9
427	7
428	12
429	11
430	8
431	4
432	6
433	2
434	5
435	6
436	0
437	0
438	4
439	7
440	3
441	9
442	10
443	11
444	8
445	9
446	7
447	11
448	2
449	12
